"Program Address","Load Address","Program Data","Read Address","Read Data","Read Size (In Bits)","Write Address","Write Data","Write Size (In Bits)","Cycles","Stall Cycle Data","Memory/Cache Event","External Event","Target State Data","Trace Status","Stall Event Names","Memory Event Names","Function","Disassembly"
"","","","","","","","","","","","","","","Start of trace","","","UNKNOWN",""
"","","","","","","","","","","","","","","Incomplete frame, Missing start of frame marker, disable circular buffering or assure collection is started before running target.","","","UNKNOWN",""
"0022b284","0022b284","00006802","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S1       A0,11,31,A0"
"0022b286","0022b286","0000a1aa","","","","","","","000006","","","","","","","","m_ater_process_egress","           MV.L1X        B8,A4"
"0022b288","0022b288","00002626","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MVK.L1        1,A4"
"0022b28a","0022b28a","00009406","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L2      6,B3,B1"
"0022b28c","0022b28c","0000e833","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.S2        47,B0"
"0022b28e","0022b28e","0000c9a7","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MVK.S1        79,A0"
"0022b290","0022b290","00001dc9","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPLTU.L2X    B0,A3,B0"
"0022b292","0022b292","0000e852","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPGTU.L1     A3,A0,A0"
"0022b294","0022b294","00000489","","","","","","","000001","","","","","","","","m_ater_process_egress","           AND.L2        B0,B1,B0"
"0022b296","0022b296","00006c68","","","","","","","","","","","","","","","m_ater_process_egress"," ||        OR.L1X        A0,B0,A0"
"0022b298","0022b298","00008408","","","","","","","000001","","","","","","","","m_ater_process_egress","           AND.L1        A4,A0,A0"
"0022b29a","0022b29a","00001428","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L1        A7,-1,A4"
"0022b2a0","0022b2a0","c0340296","","","0008","","","","000001","","","","","","","","m_ater_process_egress","    [ A0]  LDBU.D2T2     *+B13[0],B0"
"0022b2a4","0022b2a4","00246120","","","","","","","000002","","","","","","","","m_ater_process_egress","           BNOP.S1       0x22b2e8,3"
"0022b2a4","0022b2a4","00246120","","","","","","","000003","","","","","Pipeline stall","","","m_ater_process_egress","           BNOP.S1       0x22b2e8,3"
"0022b2a4","0022b2a4","00246120","","","","","","","000002","","","","","Execution continued","","","m_ater_process_egress","           BNOP.S1       0x22b2e8,3"
"0022b2a8","0022b2a8","c0020f5a","","","","","","","000001","","","","","","","","m_ater_process_egress","    [ A0]  AND.L2        -16,B0,B0"
